                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98879,                 2.0531,                0.29331,                0.74908,                 1.2003,                0.92745,                0.91403,                0.90737,                0.66775,                0.84561,                    0.5,                0.53477,                0.35204,                 0.8972,                 3.5746,                0.34883,                0.59433,                  1.056,                      0,                      0,                      0
                      2,                 1.0266,                 3.7229,                0.46944,                0.80637,                 1.2298,                 0.9099,                0.92857,                0.90736,                 0.6683,                0.84164,                    0.5,                0.53474,                0.35438,                0.88962,                 3.5985,                0.35177,                0.59193,                 1.0541,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.1804,                 3.6136,                0.40495,                 1.0328,                  1.226,                 0.8609,                0.92857,                0.90196,                0.67371,                0.70686,                0.57143,                0.53504,                0.36204,                0.88322,                  3.605,                0.35537,                0.58988,                 1.0478,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.3439,                 3.1863,                0.31356,                0.86997,                 1.2951,                0.84896,                0.92857,                0.89312,                0.66365,                0.71407,                0.57143,                 0.5264,                0.33884,                0.87157,                  3.629,                0.35704,                0.60652,                   1.04,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.90534,                 1.7842,                0.21771,                0.51682,                 1.1249,                0.84716,                0.92857,                0.90755,                0.65806,                 0.7232,                0.57143,                0.53278,                0.33115,                0.86774,                 3.6703,                0.36032,                0.63468,                 1.0387,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.74044,                 1.8818,                 0.3233,                0.47923,                0.95132,                0.84477,                0.92857,                 0.9362,                0.66682,                0.79935,                0.57143,                0.54392,                0.34493,                0.88641,                 3.7687,                0.36774,                0.65677,                 1.0443,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.1782,                 3.9441,                0.56772,                  1.021,                  1.292,                0.84093,                0.92857,                 0.9333,                 0.6512,                0.79165,                0.57143,                0.53628,                0.30863,                0.91388,                 3.9139,                0.37181,                0.68865,                 1.0614,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.0515,                 2.2082,                0.42258,                0.97431,                 1.0459,                0.84895,                0.92857,                0.94379,                 0.6411,                 0.7719,                0.57143,                0.52436,                0.24658,                0.95348,                  4.093,                0.37736,                0.72102,                 1.0902,              0.0001303,              0.0001303,              0.0001303
                      9,                0.92066,                 2.6886,                0.26388,                0.62096,                 1.2803,                0.86428,                0.91069,                0.92575,                0.62799,                0.64555,                    0.5,                 0.4371,                0.22777,                0.99081,                  4.238,                0.38713,                0.76434,                 1.1227,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.0364,                 3.0394,                0.42621,                0.71878,                 1.1381,                0.78573,                0.92857,                0.89827,                0.59463,                0.62663,                    0.5,                 0.4037,                0.22335,                 1.0772,                 4.4442,                0.40782,                0.79322,                 1.1722,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.1853,                 1.8932,                0.24088,                0.69133,                 1.3198,                0.78916,                0.92857,                0.87478,                0.58748,                0.62172,                    0.5,                0.39551,                0.19834,                 1.1402,                 4.6594,                 0.4113,                0.87136,                 1.1939,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.1595,                 4.1175,                0.41513,                 1.1261,                 1.2466,                0.75957,                0.92857,                0.86844,                0.55425,                0.62123,                    0.5,                0.40941,                0.18324,                 1.1893,                 4.8348,                0.41592,                0.93303,                 1.2288,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.3764,                 2.0263,                0.30785,                0.71754,                 1.4927,                0.88858,                0.71429,                0.85287,                0.55078,                0.65405,                0.42857,                0.36343,                0.17675,                  1.204,                 4.8815,                0.41075,                0.99868,                 1.2424,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.1076,                 2.9571,                0.27928,                 0.7488,                 1.2498,                0.90213,                0.71429,                0.83305,                0.55758,                0.66165,                0.42857,                0.35061,                0.16821,                 1.1999,                 5.1439,                 0.4094,                 1.0653,                 1.2485,             0.00022654,             0.00022654,             0.00022654
                     15,                 0.8412,                 1.0243,                0.25756,                0.76108,                 1.1491,                0.73692,                0.71429,                0.81827,                0.53972,                0.67232,                0.44069,                 0.4017,                0.15888,                  1.212,                 5.3654,                0.41214,                  1.131,                  1.265,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.0772,                 2.4468,                 0.2751,                0.87652,                 1.1899,                 0.7002,                0.71429,                0.78657,                0.50073,                0.80061,                0.35714,                0.33848,                0.11762,                 1.3257,                 5.6687,                0.41616,                 1.2912,                 1.3179,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.1672,                 2.9068,                0.32554,                0.78514,                 1.0755,                0.73234,                0.71429,                0.77799,                0.46366,                0.64084,                0.28571,                0.24293,                0.08238,                 1.4588,                 5.9461,                0.43062,                  1.382,                 1.3681,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.0851,                 2.4329,                0.29807,                0.68488,                 1.0444,                0.73234,                0.71429,                0.77799,                0.46366,                0.64084,                0.28571,                0.24293,                0.08238,                 1.4588,                 5.9461,                0.43062,                  1.382,                 1.3681,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.1117,                 2.4872,                0.26586,                 0.7435,                 1.2058,                 0.8043,                0.58832,                0.70185,                0.44148,                0.37983,                0.43796,                0.31774,                0.08441,                 1.4083,                 6.0975,                0.43172,                 1.4588,                  1.417,             0.00029585,             0.00029585,             0.00029585
                     20,                0.86922,                  2.404,                0.31188,                 0.6329,                 1.0509,                 0.8043,                0.58832,                0.70185,                0.44148,                0.37983,                0.43796,                0.31774,                0.08441,                 1.4083,                 6.0975,                0.43172,                 1.4588,                  1.417,             0.00030852,             0.00030852,             0.00030852
                     21,                  1.412,                 2.3611,                0.31586,                0.86203,                 1.3047,                 0.6616,                0.55948,                 0.6219,                0.40773,                0.62006,                0.35055,                0.26361,                0.07127,                  1.457,                 6.2537,                0.45028,                 1.5851,                 1.4889,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.0215,                 1.9898,                0.23317,                0.79542,                  1.181,                 0.6616,                0.55948,                 0.6219,                0.40773,                0.62006,                0.35055,                0.26361,                0.07127,                  1.457,                 6.2537,                0.45028,                 1.5851,                 1.4889,             0.00033268,             0.00033268,             0.00033268
                     23,                 1.4579,                 4.9191,                0.33793,                 1.8519,                 1.5846,                      1,                0.48041,                0.64097,                0.38484,                0.63182,                0.28571,                0.25423,                0.06502,                 1.4916,                  6.196,                0.45786,                  1.612,                 1.5223,             0.00034417,             0.00034417,             0.00034417
                     24,                   1.12,                 2.5789,                0.28796,                0.89954,                 1.2651,                      1,                0.48041,                0.64097,                0.38484,                0.63182,                0.28571,                0.25423,                0.06502,                 1.4916,                  6.196,                0.45786,                  1.612,                 1.5223,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.2557,                 2.1214,                0.29743,                0.75785,                 1.5318,                0.94568,                    0.5,                0.62526,                0.31761,                0.66364,                0.35714,                0.32298,                0.05751,                 1.6621,                 6.1917,                0.48626,                 1.6415,                 1.6252,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.0642,                 2.7842,                0.30226,                0.93431,                 1.2557,                0.94568,                    0.5,                0.62526,                0.31761,                0.66364,                0.35714,                0.32298,                0.05751,                 1.6621,                 6.1917,                0.48626,                 1.6415,                 1.6252,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.1982,                  3.732,                0.55654,                 1.3186,                 1.4503,                0.69413,                0.42857,                0.52516,                0.25564,                0.45908,                0.28571,                0.24698,                0.04932,                 1.8627,                 6.3921,                0.51937,                 1.8325,                 1.7747,             0.00038615,             0.00038615,             0.00038615
                     28,                 0.7999,                 2.2383,                0.31063,                0.74885,                 1.0031,                0.69413,                0.42857,                0.52516,                0.25564,                0.45908,                0.28571,                0.24698,                0.04932,                 1.8627,                 6.3921,                0.51937,                 1.8325,                 1.7747,             0.00039566,             0.00039566,             0.00039566
                     29,                0.81789,                 2.6499,                0.29916,                0.83174,                  1.145,                0.82985,                0.42857,                0.54716,                0.25668,                0.55286,                0.28571,                0.26305,                0.08023,                 1.9069,                 6.5228,                0.55178,                 1.9056,                 1.8889,             0.00040477,             0.00040477,             0.00040477
                     30,                 1.0044,                 3.1853,                0.38481,                0.85783,                 1.2325,                0.82985,                0.42857,                0.54716,                0.25668,                0.55286,                0.28571,                0.26305,                0.08023,                 1.9069,                 6.5228,                0.55178,                 1.9056,                 1.8889,             0.00041348,             0.00041348,             0.00041348
                     31,                 1.0288,                 3.2764,                0.41332,                0.86612,                 1.1408,                0.84028,                0.42857,                0.55405,                0.28101,                0.55995,                0.28571,                0.21033,                0.04701,                 1.9535,                 6.7069,                0.56624,                 1.8276,                 1.9482,              0.0004218,              0.0004218,              0.0004218
                     32,                 1.3201,                  2.734,                 0.2661,                 1.1071,                 1.2173,                0.84028,                0.42857,                0.55405,                0.28101,                0.55995,                0.28571,                0.21033,                0.04701,                 1.9535,                 6.7069,                0.56624,                 1.8276,                 1.9482,             0.00042972,             0.00042972,             0.00042972
                     33,                 1.0202,                 2.2947,                0.21852,                0.92417,                 1.3664,                0.77492,                    0.5,                0.66154,                0.28358,                0.55351,                0.35714,                0.36127,                0.09659,                 1.9332,                 6.8111,                0.58894,                 1.8294,                 1.9486,             0.00043725,             0.00043725,             0.00043725
                     34,                0.86929,                 2.7052,                0.32734,                0.77416,                  1.048,                0.77492,                    0.5,                0.66154,                0.28358,                0.55351,                0.35714,                0.36127,                0.09659,                 1.9332,                 6.8111,                0.58894,                 1.8294,                 1.9486,             0.00044438,             0.00044438,             0.00044438
                     35,                0.88364,                 2.1126,                0.31051,                 0.7349,                 1.1052,                0.70282,                0.57143,                0.63723,                0.30286,                0.66562,                0.42857,                0.42387,                0.12508,                 1.8208,                  6.739,                0.57572,                 1.7828,                  1.876,             0.00045111,             0.00045111,             0.00045111
                     36,                0.73023,                 2.3761,                0.26811,                0.68032,                 1.0736,                0.70282,                0.57143,                0.63723,                0.30286,                0.66562,                0.42857,                0.42387,                0.12508,                 1.8208,                  6.739,                0.57572,                 1.7828,                  1.876,             0.00045745,             0.00045745,             0.00045745
                     37,                 0.9844,                 2.0477,                0.30496,                0.66268,                 1.1353,                0.88723,                0.56291,                0.63629,                0.31195,                      1,                0.35266,                0.41502,                0.10725,                 1.7879,                  6.609,                0.57943,                 1.8013,                 1.8238,             0.00046339,             0.00046339,             0.00046339
                     38,                0.79296,                 2.5926,                0.31579,                0.67808,                 1.0752,                0.88723,                0.56291,                0.63629,                0.31195,                      1,                0.35266,                0.41502,                0.10725,                 1.7879,                  6.609,                0.57943,                 1.8013,                 1.8238,             0.00046894,             0.00046894,             0.00046894
                     39,                0.76428,                 1.9077,                0.28607,                0.63836,                 1.0757,                0.71836,                0.54809,                 0.5661,                0.27766,                0.53235,                0.40797,                0.38049,                0.12166,                 1.7409,                  6.303,                0.53322,                 1.8465,                 1.8213,             0.00047409,             0.00047409,             0.00047409
                     40,                0.76557,                 2.3407,                0.28822,                0.61971,                0.98169,                0.71836,                0.54809,                 0.5661,                0.27766,                0.53235,                0.40797,                0.38049,                0.12166,                 1.7409,                  6.303,                0.53322,                 1.8465,                 1.8213,             0.00047884,             0.00047884,             0.00047884
                     41,                 0.9213,                 2.9288,                0.31573,                 0.6469,                 1.1627,                0.57824,                    0.5,                0.49713,                0.25087,                 0.6485,                0.28571,                0.27808,                0.08341,                 1.8121,                 6.2428,                0.51168,                 1.9644,                 1.8988,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.0905,                 2.1513,                0.29592,                 0.7789,                 1.1583,                0.57824,                    0.5,                0.49713,                0.25087,                 0.6485,                0.28571,                0.27808,                0.08341,                 1.8121,                 6.2428,                0.51168,                 1.9644,                 1.8988,             0.00048716,             0.00048716,             0.00048716
                     43,                0.71341,                 2.3547,                0.33972,                0.52723,                 1.0399,                0.57931,                    0.5,                0.53571,                0.29079,                 0.6498,                0.28571,                0.27411,                0.07779,                   1.85,                 6.2605,                0.50166,                 2.0252,                 1.9131,             0.00049073,             0.00049073,             0.00049073
                     44,                 0.7544,                 2.0417,                0.21727,                0.64583,                 1.1435,                0.57931,                    0.5,                0.53571,                0.29079,                 0.6498,                0.28571,                0.27411,                0.07779,                   1.85,                 6.2605,                0.50166,                 2.0252,                 1.9131,              0.0004939,              0.0004939,              0.0004939
                     45,                0.80293,                 2.3741,                0.30053,                0.65958,                  1.102,                0.82522,                    0.5,                0.58788,                0.30652,                0.77869,                0.28571,                0.27862,                0.07216,                 1.9486,                 6.5003,                0.50595,                 2.0012,                 1.9476,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.0832,                 2.4012,                0.32097,                0.79606,                 1.1109,                0.82522,                    0.5,                0.58788,                0.30652,                0.77869,                0.28571,                0.27862,                0.07216,                 1.9486,                 6.5003,                0.50595,                 2.0012,                 1.9476,             0.00049905,             0.00049905,             0.00049905
                     47,                0.63954,                 2.8425,                0.22489,                 0.5821,                0.96407,                 0.8419,                    0.5,                0.58267,                 0.2865,                0.77698,                0.28571,                0.25746,                0.07202,                 1.9701,                 6.6249,                0.51107,                 2.1665,                 1.9549,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.3592,                 2.5438,                0.38861,                 1.3844,                 1.4557,                 0.8419,                    0.5,                0.58267,                 0.2865,                0.77698,                0.28571,                0.25746,                0.07202,                 1.9701,                 6.6249,                0.51107,                 2.1665,                 1.9549,             0.00050262,             0.00050262,             0.00050262
                     49,                0.72801,                 2.1021,                0.34693,                0.63847,                 1.1025,                0.65635,                    0.5,                0.54166,                0.28309,                0.64852,                0.35714,                 0.3524,                0.08327,                  1.988,                 6.8797,                0.51489,                 2.3455,                 2.0182,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.0271,                 2.9602,                0.28256,                 0.7572,                 1.2104,                0.65635,                    0.5,                0.54166,                0.28309,                0.64852,                0.35714,                 0.3524,                0.08327,                  1.988,                 6.8797,                0.51489,                 2.3455,                 2.0182,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.0277,                 3.0815,                 0.3826,                0.80932,                 1.1195,                0.79636,                    0.5,                0.56178,                0.28919,                0.81762,                0.35714,                0.35026,                0.06576,                 2.0522,                 7.0422,                0.51787,                 2.2865,                 2.1139,               0.000505,               0.000505,               0.000505
                     52,                0.85353,                 3.3116,                0.27321,                0.72722,                 1.0322,                0.79636,                    0.5,                0.56178,                0.28919,                0.81762,                0.35714,                0.35026,                0.06576,                 2.0522,                 7.0422,                0.51787,                 2.2865,                 2.1139,               0.000505,               0.000505,               0.000505
                     53,                0.96394,                 2.6765,                0.25131,                 0.9025,                 1.0887,                0.79636,                    0.5,                0.56178,                0.28919,                0.81762,                0.35714,                0.35026,                0.06576,                 2.0522,                 7.0422,                0.51787,                 2.2865,                 2.1139,             0.00050461,             0.00050461,             0.00050461
                     54,                0.97058,                 2.2224,                0.36232,                0.78228,                 1.1093,                0.66086,                    0.5,                 0.5248,                0.25465,                0.39131,                0.28571,                0.18324,                0.04667,                 2.1378,                 7.1593,                0.53054,                 2.3376,                 2.2008,             0.00050382,             0.00050382,             0.00050382
                     55,                 0.8398,                 3.4622,                0.30291,                0.70588,                 1.1095,                0.66086,                    0.5,                 0.5248,                0.25465,                0.39131,                0.28571,                0.18324,                0.04667,                 2.1378,                 7.1593,                0.53054,                 2.3376,                 2.2008,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.1311,                 3.6861,                0.27877,                0.83474,                 1.1734,                0.66086,                    0.5,                 0.5248,                0.25465,                0.39131,                0.28571,                0.18324,                0.04667,                 2.1378,                 7.1593,                0.53054,                 2.3376,                 2.2008,             0.00050105,             0.00050105,             0.00050105
                     57,                0.83339,                 2.5668,                0.26527,                0.63464,                 1.1905,                0.55525,                0.57143,                0.54309,                0.24483,                0.49911,                0.28482,                0.22976,                0.04064,                 2.1909,                 7.3052,                0.54375,                 2.3859,                 2.2117,             0.00049907,             0.00049907,             0.00049907
                     58,                0.76442,                 2.5539,                0.34374,                0.64555,                 0.9292,                0.55525,                0.57143,                0.54309,                0.24483,                0.49911,                0.28482,                0.22976,                0.04064,                 2.1909,                 7.3052,                0.54375,                 2.3859,                 2.2117,              0.0004967,              0.0004967,              0.0004967
                     59,                0.91755,                 2.8613,                0.31189,                0.73047,                 1.0378,                0.55525,                0.57143,                0.54309,                0.24483,                0.49911,                0.28482,                0.22976,                0.04064,                 2.1909,                 7.3052,                0.54375,                 2.3859,                 2.2117,             0.00049393,             0.00049393,             0.00049393
                     60,                0.80928,                  3.505,                0.34277,                0.87512,                 1.0199,                0.62457,                    0.5,                0.50981,                0.21862,                0.46523,                0.14286,                0.13275,                0.02491,                 2.1826,                 7.5988,                0.56831,                 2.3849,                 2.2079,             0.00049076,             0.00049076,             0.00049076
